year,change
1951,1.0622186656
1952,1.0558702057
1953,1.005160156
1954,1.0462029889
1955,1.069945236
1956,1.0309594719
1957,1.0088090243
1958,1.0495399858
1959,1.0392447741
1960,1.0198746232
1961,1.0500738972
1962,1.0245234655
1963,1.0408675716
1964,1.0180057339
1965,1.0600250713
1966,1.0557027029
1967,1.0687300516
1968,1.0577914339
1969,1.0496253665
1970,1.0502469998
1971,1.0980009481
1972,1.0625697384
1973,1.0594446555
1974,1.0747326529
1975,1.0690030727
1976,1.0599318483
1977,1.0794104775
1978,1.0874789102
1979,1.0900739233
1980,1.1006628063
1981,1.0550522395
1982,1.0487153972
1983,1.0587844276
1984,1.0426053311
1985,1.0296810642
1986,1.0637744764
1987,1.0492513232
1988,1.0395938976
1989,1.0461915814
1990,1.0372655861
1991,1.0515239597
1992,1.0086002349
1993,1.0268390981
1994,1.0400837265
1995,1.0489053925
1996,1.0583509236
1997,1.0523386567
1998,1.0557283351
1999,1.0552999294
2000,1.0238564545
2001,1.0100288805
2002,1.0244453807
2003,1.0464876655
2004,1.036590268
2005,1.0459630546
2006,1.0453817856
2007,1.0230040579
2008,0.9849193068
2009,1.023635027
2010,1.0313333332
2011,1.0312255044
2012,1.0127813325
2013,1.0354962199
2014,1.0347903855
2015,1.011300114
2016,1
